Year,Zone,Sub Region,District,Division 1 - Boys,Division 1 - Girls,Division 1 - Total,Division 2 - Boys,Division 2 - Girls,Division 2 - Total,Division 3 - Boys,Division 3 - Girls,Division 3 - Total,Division 4 - Boys,Division 4 - Girls,Division 4 - Total,Division U - Boys,Division U - Girls,Division U - Total,Division X - Boys,Division X - Girls,Division X - Total,Registered - Boys,Registered - Girls,Registered - Total,Sat - Boys,Sat - Girls,Sat - Total,Passed - Boys,Passed - Girls,Passed - Total,Pass Rate - Boys,Pass Rate - Girls,Pass Rate - Total,Pass Division 1_2_3 Boys,Pass Division 1_2_3 Girls,Pass Division 1_2_3 Total,Pass Rate Division 1_2_3 Boys,Pass Rate Division 1_2_3 Girls,Pass Rate Division 1_2_3 Total,Pass Rate Division 1 Boys,Pass Rate Division 1 Girls,Pass Rate Division 1 Total,Failure Rate -  Boys,Failure Rate - Girls,Failure Rate - Total,Abseentism Rate - Boys,Abseentism Rate - Girls,Abseentism Rate - Total
2022,Other,Toro,Ntoroko,51,32,83,389,410,799,94,114,208,56,62,118,16,19,35,45,29,74,651,666,1317,606,637,1243,590,618,1208,0.0,0.0,0.0,534,556,1090,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,FZO,Ankole,Ntungamo,1219,1054,2273,2537,3298,5835,812,1122,1934,396,542,938,299,420,719,84,116,200,5347,6552,11899,5263,6436,11699,4964,6016,10980,0.0,0.0,0.0,4568,5474,10042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Other,Acholi,Nwoya,29,18,47,551,315,866,369,326,695,231,193,424,255,297,552,40,45,85,1475,1194,2669,1435,1149,2584,1180,852,2032,0.0,0.0,0.0,949,659,1608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,AZO,West Nile,Obongi,12,1,13,669,348,1017,379,335,714,178,161,339,106,132,238,6,2,8,1350,979,2329,1344,977,2321,1238,845,2083,0.0,0.0,0.0,1060,684,1744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Other,Acholi,Omoro,94,52,146,814,589,1403,374,366,740,273,274,547,258,289,547,34,41,75,1847,1611,3458,1813,1570,3383,1555,1281,2836,0.0,0.0,0.0,1282,1007,2289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Other,Lango,Otuke,38,9,47,406,258,664,221,171,392,155,142,297,261,267,528,31,28,59,1112,875,1987,1081,847,1928,820,580,1400,0.0,0.0,0.0,665,438,1103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Other,Lango,Oyam,121,69,190,1161,702,1863,829,716,1545,620,532,1152,1096,995,2091,77,96,173,3904,3110,7014,3827,3014,6841,2731,2019,4750,0.0,0.0,0.0,2111,1487,3598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Other,Acholi,Pader,64,30,94,816,461,1277,590,429,1019,420,327,747,601,636,1237,58,49,107,2549,1932,4481,2491,1883,4374,1890,1247,3137,0.0,0.0,0.0,1470,920,2390,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Other,West Nile,Pakwach,58,17,75,631,285,916,350,263,613,236,139,375,171,126,297,47,38,85,1493,868,2361,1446,830,2276,1275,704,1979,0.0,0.0,0.0,1039,565,1604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Other,Bukedi,Pallisa,85,44,129,1064,828,1892,941,877,1818,618,632,1250,978,1107,2085,107,104,211,3793,3592,7385,3686,3488,7174,2708,2381,5089,0.0,0.0,0.0,2090,1749,3839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Other,South Buganda,Rakai,392,327,719,1034,1459,2493,288,439,727,165,226,391,101,160,261,83,142,225,2063,2753,4816,1980,2611,4591,1879,2451,4330,0.0,0.0,0.0,1714,2225,3939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Other,Kigezi,Rubanda,160,132,292,648,862,1510,377,578,955,174,319,493,162,324,486,83,199,282,1604,2414,4018,1521,2215,3736,1359,1891,3250,0.0,0.0,0.0,1185,1572,2757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
